engaged,la,ra,lh,rh,head,body
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh closed back,rh claw down,head nod,body still
engaged,la blind,ra still,lh open back,rh claw left,head nod,body still
engaged,la blind,ra still,lh open back,rh claw down,head nod,body still
engaged,la blind,ra still,lh open back,rh claw down,head nod,body still
engaged,la blind,ra still,lh open back,rh claw down,head nod,body still
engaged,la blind,ra still,lh closed back,rh claw down,head nod,body still
engaged,la blind,ra still,lh closed back,rh claw down,head nod,body still
engaged,la blind,ra still,lh closed back,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh claw down,head nod,body still
engaged,la blind,ra still,lh other,rh open back,head nod,body still
engaged,la blind,ra still,lh other,rh open back,head nod,body still
engaged,la blind,ra still,lh other,rh closed back,head nod,body still
engaged,la blind,ra blind,lh other,rh other,head nod,body still
engaged,la blind,ra blind,lh other,rh other,head nod,body still
engaged,la blind,ra blind,lh other,rh other,head nod,body still
engaged,la blind,ra blind,lh other,rh other,head nod,body still
engaged,la blind,ra blind,lh other,rh other,head nod,body still
engaged,la blind,ra blind,lh other,rh other,head nod,body still
engaged,la blind,ra blind,lh other,rh other,head nod,body still
engaged,la blind,ra blind,lh other,rh other,head nod,body still
engaged,la blind,ra blind,lh other,rh other,head nod,body still
engaged,la blind,ra blind,lh other,rh other,head nod,body still
engaged,la blind,ra blind,lh other,rh other,head nod,body still
engaged,la blind,ra blind,lh other,rh other,head nod,body still
engaged,la blind,ra blind,lh other,rh other,head nod,body still
engaged,la blind,ra blind,lh other,rh other,head nod,body still
engaged,la blind,ra blind,lh other,rh other,head nod,body still
engaged,la blind,ra blind,lh other,rh other,head nod,body still
